word_en,word_pl,example,counter
to jump to conclusions,pochopnie wyciągać wnioski,"Don't jump to conclusions — hear the full story before making a judgement.",0
to play it by ear,improwizować / działać bez planu,We don't have a fixed itinerary — we'll just play it by ear.,0
to put all your eggs in one basket,stawiać wszystko na jedną kartę,"Don't put all your eggs in one basket — apply to several universities.",0
to run out of steam,wyczerpać energię / tracić impet,The reform movement ran out of steam after its leader resigned.,0
to see eye to eye,zgadzać się / patrzeć na coś tak samo,"We don't always see eye to eye, but we respect each other's opinions.",0
to stab someone in the back,wbić komuś nóż w plecy / zdradzić,I can't believe he stabbed me in the back after everything I did for him.,0
to take it with a grain of salt,brać z przymrużeniem oka,"The report sounds dramatic, but I'd take it with a grain of salt.",0
the tip of the iceberg,wierzchołek góry lodowej,The financial scandal was just the tip of the iceberg.,0
to think outside the box,myśleć nieszablonowo / kreatywnie,We need someone who can think outside the box to solve this problem.,0
to be up in the air,być niepewnym / w zawieszeniu,The date of the launch is still up in the air — nothing is confirmed.,0
to bark up the wrong tree,szukać w złym miejscu / mylić się,"If you think I took the money, you're barking up the wrong tree.",0
to bend over backwards,robić wszystko co możliwe / wychodzić ze skóry,The hotel staff bent over backwards to make our stay memorable.,0
to burn the midnight oil,pracować do późna / zarywać noce,She burned the midnight oil to finish the report before the deadline.,0
to catch someone red-handed,przyłapać na gorącym uczynku,The shopkeeper caught the thief red-handed stealing from the till.,0
to cross that bridge when you come to it,nie pożyczać kłopotów z przyszłości,"Don't worry about the relocation just yet — we'll cross that bridge when we come to it.",0
to get a taste of your own medicine,poczuć na własnej skórze / dostać za swoje,He was always rude to the waitstaff and now he's getting a taste of his own medicine.,0
to go the extra mile,robić coś z nawiązką / wychodzić poza oczekiwania,"She always goes the extra mile for her clients, and that's why they keep coming back.",0
to have the upper hand,mieć przewagę / górę,"In the negotiations, the seller clearly had the upper hand.",0
to keep something at bay,trzymać coś na dystans / powstrzymywać,Regular exercise helps keep stress at bay.,0
